,ID,KIDSDRIV,AGE,HOMEKIDS,YOJ,INCOME,PARENT1,HOME_VAL,MSTATUS,GENDER,EDUCATION,OCCUPATION,TRAVTIME,CAR_USE,BLUEBOOK,TIF,CAR_TYPE,RED_CAR,OLDCLAIM,CLM_FREQ,REVOKED,MVR_PTS,CLM_AMT,CAR_AGE,CLAIM_FLAG
3678,531817639,1,42.0,3,9.0,"$4,701",No,$0,Yes,z_F,z_High School,Student,12,Private,"$5,900",1,Sports Car,no,$0,0,No,4,$0,9.0,1
2533,738075150,0,50.0,0,7.0,"$10,232",No,"$129,979",Yes,z_F,Masters,Home Maker,33,Private,"$24,470",16,Minivan,no,"$5,458",2,No,3,$0,18.0,0
9169,176935775,0,40.0,2,17.0,"$66,200",Yes,"$223,960",z_No,z_F,Bachelors,Manager,53,Private,"$17,260",13,z_SUV,no,$0,0,No,1,$629,9.0,1
4174,195054268,2,38.0,2,13.0,"$34,056",No,"$122,908",Yes,z_F,z_High School,z_Blue Collar,29,Commercial,"$6,180",4,Sports Car,no,$502,1,No,5,$0,2.0,0
10150,764551255,0,38.0,0,,"$45,734",No,"$222,653",Yes,M,z_High School,Professional,5,Commercial,"$9,870",1,Pickup,no,"$3,296",1,No,3,"$2,156",2.0,1
923,651998401,0,50.0,0,0.0,$0,No,$0,z_No,z_F,z_High School,Home Maker,37,Private,"$6,500",3,Sports Car,no,$0,0,No,0,"$2,668",1.0,1
9406,634400043,0,50.0,0,9.0,,No,,Yes,M,z_High School,z_Blue Collar,43,Commercial,"$8,670",10,Pickup,yes,$0,0,No,2,$0,,0
897,908951082,0,43.0,0,11.0,"$93,658",No,"$303,850",Yes,M,Masters,Lawyer,37,Private,"$6,200",5,Minivan,no,$0,0,No,0,$0,15.0,0
747,169535646,0,42.0,0,0.0,$0,No,"$56,266",Yes,z_F,Bachelors,Home Maker,32,Private,"$6,200",1,z_SUV,no,$0,0,Yes,0,$0,2.0,0
7274,170442280,0,52.0,0,12.0,"$28,573",No,"$159,254",Yes,M,<High School,Clerical,60,Private,"$9,160",6,Pickup,yes,$0,0,No,0,$0,2.0,0
1905,548662258,0,52.0,0,10.0,"$94,403",No,"$270,997",z_No,M,Bachelors,Manager,33,Commercial,"$29,750",6,Panel Truck,no,$0,0,No,0,$0,7.0,0
8399,69168603,0,58.0,0,16.0,"$42,815",No,"$205,232",Yes,M,Masters,Lawyer,47,Private,"$14,690",1,Minivan,yes,"$8,762",1,No,0,$0,7.0,0
7472,320720333,0,50.0,0,5.0,"$83,967",No,"$215,941",Yes,M,Bachelors,Professional,55,Private,"$19,420",9,Minivan,no,"$2,476",3,No,5,$0,5.0,0
5104,508922606,0,49.0,0,11.0,"$30,969",No,$0,z_No,z_F,<High School,Clerical,77,Private,"$9,200",10,z_SUV,no,$0,0,No,3,$0,8.0,0
